brand,model,price
Ashok Leyland,Stile,Rs.9.56 Lakh
Aston Martin,Db12,Rs.4.59 Cr
Aston Martin,Dbx,Rs.3.82 - 4.63 Cr
Aston Martin,Vantage,Rs.3.99 Cr
Audi,Q5,Rs.65.51 - 70.80 Lakh
Audi,Q3,Rs.44.25 - 54.65 Lakh
Audi,Q7,Rs.88.66 - 97.84 Lakh
Audi,A4,Rs.46.02 - 54.58 Lakh
Audi,Rs5,Rs.1.13 Cr
Audi,A6,Rs.64.41 - 70.79 Lakh
Audi,Q8,Rs.1.16 - 1.43 Cr
Audi,E-Tron Gt,Rs.1.72 Cr
Audi,E-Tron,Rs.1.02 - 1.26 Cr
Audi,Rs E-Tron Gt,Rs.1.95 Cr
Audi,A8 L,Rs.1.34 - 1.63 Cr
Audi,Q3 Sportback,Rs.54.76 - 55.71 Lakh
Audi,Q8 E-Tron,Rs.1.15 - 1.27 Cr
Audi,Q8 Sportback E-Tron,Rs.1.19 - 1.32 Cr
Audi,Rs Q8,Rs.2.22 Cr
Audi,S5 Sportback,Rs.77.32 Lakh
Austin,A40,Rs.15 Lakh
Bentley,Continental,Rs.5.23 - 8.45 Cr
Bentley,Flying Spur,Rs.5.25 - 7.60 Cr
Bentley,Bentayga,Rs.5 - 6.75 Cr
Bmw,X1,Rs.49.50 - 52.50 Lakh
Bmw,X7,Rs.1.27 - 1.30 Cr
Bmw,X5,Rs.96 Lakh - 1.09 Cr
Bmw,I7,Rs.2.03 - 2.50 Cr
Bmw,Xm,Rs.2.60 Cr
Bmw,Z4,Rs.90.90 Lakh
Bmw,X3,Rs.68.50 - 87.70 Lakh
Bmw,3 Series,Rs.72.90 Lakh
Bmw,7 Series,Rs.1.81 - 1.84 Cr
Bmw,2 Series,Rs.43.90 - 46.90 Lakh
Bmw,Ix,Rs.1.40 Cr
Bmw,M2,Rs.99.90 Lakh
Bmw,X4,Rs.96.20 Lakh
Bmw,6 Series,Rs.73.50 - 78.90 Lakh
Bmw,M4 Competition,Rs.1.53 Cr
Bmw,I5,Rs.1.20 Cr
Bmw,3 Series Gran Limousine,Rs.60.60 - 62.60 Lakh
Bmw,Ix1,Rs.66.90 Lakh
Bmw,I4,Rs.72.50 - 77.50 Lakh
Bmw,M8 Coupe Competition,Rs.2.44 Cr
Bugatti,Divo,Rs.41 Cr
Bugatti,Veyron,Rs.12 Cr
Byd,Seal,Rs.41 - 53 Lakh
Byd,Atto 3,Rs.33.99 - 34.49 Lakh
Byd,E6,Rs.29.15 Lakh
Cadillac,Cts,Rs.45 Lakh
Cadillac,Escalade,Rs.1.20 Cr
Cadillac,Sts,Rs.45 Lakh
Chevrolet,Aveo,Rs.7.43 Lakh
Chevrolet,Aveo U-Va,Rs.4.98 Lakh
Chevrolet,Beat 2009-2013,Rs.6.01 Lakh
Chevrolet,Beat 2014-2016,Rs.6.38 Lakh
Chevrolet,Beat,Rs.6.50 Lakh
Chevrolet,Captiva,Rs.27.36 Lakh
Chevrolet,Captiva 2008-2012,Rs.20.59 Lakh
Chevrolet,Captiva 2012-2014,Rs.27.36 Lakh
Chevrolet,Corvette,Rs.50 Lakh
Chevrolet,Cruze 2010-2011,Rs.15.05 Lakh
Chevrolet,Cruze 2012-2014,Rs.16 Lakh
Chevrolet,Cruze 2014-2016,Rs.17.81 Lakh
Chevrolet,Cruze,Rs.17.46 Lakh
Chevrolet,Enjoy,Rs.9.18 Lakh
Chevrolet,Enjoy 2013-2015,Rs.8.63 Lakh
Chevrolet,Forester,Rs.10 Lakh
Chevrolet,Optra,Rs.11.84 Lakh
Chevrolet,Optra Magnum,Rs.9.56 Lakh
Chevrolet,Optra Srv,Rs.7.50 Lakh
Chevrolet,Sail,Rs.8.44 Lakh
Chevrolet,Sail Hatchback,Rs.7.46 Lakh
Chevrolet,Sail Hatchback 2012-2013,Rs.6.62 Lakh
Chevrolet,Silverado,Rs.8.17 Lakh
Chevrolet,Spark,Rs.4.22 Lakh
Chevrolet,Spark 2007-2012,Rs.4.31 Lakh
Chevrolet,Tavera 2003-2007,Rs.7.57 Lakh
Chevrolet,Tavera 2012-2017,Rs.11.50 Lakh
Chevrolet,Tavera,Rs.11.58 Lakh
Chevrolet,Tavera Neo,Rs.10.12 Lakh
Chevrolet,Trailblazer,Rs.26.99 Lakh
Chrysler,300,Rs.80 Lakh
Chrysler,Avenger,Rs.30 Lakh
Citroen,C3,Rs.6.16 - 9 Lakh
Citroen,C3 Aircross,Rs.9.99 - 14.11 Lakh
Citroen,Ec3,Rs.11.61 - 13.41 Lakh
Citroen,C5 Aircross,Rs.36.91 - 37.67 Lakh
Datsun,Go,Rs.6.51 Lakh
Datsun,Go Plus,Rs.7 Lakh
Datsun,Redi-Go 2016-2020,Rs.4.37 Lakh
Datsun,Redi-Go,Rs.4.96 Lakh
Dc,Avanti,Rs.60 Lakh
Dodge,Nitro,Rs.50 Lakh
Ferrari,Roma,Rs.3.76 Cr
Ferrari,296 Gtb,Rs.5.40 Cr
Ferrari,Sf90 Stradale,Rs.7.50 Cr
Ferrari,812,Rs.5.75 Cr
Ferrari,F8 Tributo,Rs.4.02 Cr
Fiat,1100,Rs.10 Lakh
Fiat,500,Rs.29.85 Lakh
Fiat,Abarth,Rs.29.85 Lakh
Fiat,Abarth Avventura,Rs.9.89 Lakh
Fiat,Adventure,Rs.3.59 Lakh
Fiat,Avventura,Rs.8.84 Lakh
Fiat,Avventura Urban Cross,Rs.9.78 Lakh
Fiat,Ducato,Rs.16 Lakh
Fiat,Grande Punto 2009-2014,Rs.7.24 Lakh
Fiat,Grande Punto,Rs.7.92 Lakh
Fiat,Linea,Rs.10.63 Lakh
Fiat,Linea 2008-2012,Rs.9.76 Lakh
Fiat,Linea 2012-2014,Rs.9.76 Lakh
Fiat,Linea Classic,Rs.8.25 Lakh
Fiat,Millicento,Rs.10 Lakh
Fiat,Palio,Rs.3.59 Lakh
Fiat,Palio D,Rs.3.59 Lakh
Fiat,Palio Nv,Rs.3.59 Lakh
Fiat,Palio Stile,Rs.5.78 Lakh
Fiat,Petra,Rs.5.09 Lakh
Fiat,Petra D,Rs.5.09 Lakh
Fiat,Premier Padmini,Rs.1.20 Lakh
Fiat,Punto,Rs.6.87 Lakh
Fiat,Abarth Punto,Rs.9.67 Lakh
Fiat,Punto Evo,Rs.7.48 Lakh
Fiat,Punto Pure,Rs.5.63 Lakh
Fiat,Siena,Rs.5.25 Lakh
Fiat,Uno,Rs.5.66 Lakh
Ford,Aspire,Rs.9.10 Lakh
Ford,Aspire 2018,Rs.6 Lakh
Ford,Ecosport 2013-2015,Rs.10.20 Lakh
Ford,Ecosport 2015-2021,Rs.11.49 Lakh
Ford,Ecosport,Rs.11.69 Lakh
Ford,Endeavour 2003-2007,Rs.22.05 Lakh
Ford,Endeavour 2007-2009,Rs.22.05 Lakh
Ford,Endeavour 2009-2014,Rs.22.05 Lakh
Ford,Endeavour 2014-2015,Rs.25.67 Lakh
Ford,Endeavour 2015-2020,Rs.34.70 Lakh
Ford,Endeavour 2020-2022,Rs.36.27 Lakh
Ford,Escort,Rs.9 Lakh
Ford,Falcon,Rs.2 Lakh
Ford,Fiesta,Rs.10.19 Lakh
Ford,Fiesta 2004-2008,Rs.8.52 Lakh
Ford,Fiesta 2008-2011,Rs.8.52 Lakh
Ford,Fiesta 2011-2013,Rs.9.99 Lakh
Ford,Fiesta Classic,Rs.7.68 Lakh
Ford,Fiesta Classic 2011-2012,Rs.8.48 Lakh
Ford,Figo 2010 2012,Rs.5.94 Lakh
Ford,Figo 2012-2015,Rs.6.36 Lakh
Ford,Figo 2015-2019,Rs.8.49 Lakh
Ford,Figo,Rs.8.37 Lakh
Ford,Freestyle,Rs.9.03 Lakh
Ford,Fusion,Rs.6.83 Lakh
Ford,Ikon,Rs.5.76 Lakh
Ford,Mondeo 2001-2006,Rs.15 Lakh
Ford,Mustang 2016-2020,Rs.74.62 Lakh
Hindustan Motors,Ambassador,Rs.6.09 Lakh
Hindustan Motors,Contessa,Rs.5.42 Lakh
Honda,City,Rs.11.82 - 16.30 Lakh
Honda,Amaze,Rs.7.20 - 9.96 Lakh
Honda,City Hybrid,Rs.19 - 20.50 Lakh
Honda,Elevate,Rs.11.69 - 16.51 Lakh
Hummer,H2,Rs.75 Lakh
Hummer,H3,Rs.80 Lakh
Hyundai,Creta,Rs.11 - 20.15 Lakh
Hyundai,Venue,Rs.7.94 - 13.48 Lakh
Hyundai,Verna,Rs.11 - 17.42 Lakh
Hyundai,Exter,Rs.6.13 - 10.28 Lakh
Hyundai,I20,Rs.7.04 - 11.21 Lakh
Hyundai,Aura,Rs.6.49 - 9.05 Lakh
Hyundai,Alcazar,Rs.16.77 - 21.28 Lakh
Hyundai,Tucson,Rs.29.02 - 35.94 Lakh
Hyundai,Kona Electric,Rs.23.84 - 24.03 Lakh
Hyundai,Creta N Line,Rs.16.82 - 20.45 Lakh
Hyundai,Venue N Line,Rs.12.08 - 13.90 Lakh
Hyundai,Grand I10 Nios,Rs.5.92 - 8.56 Lakh
Hyundai,I20 N-Line,Rs.9.99 - 12.52 Lakh
Hyundai,Ioniq 5,Rs.46.05 Lakh
Icml,Extreme,Rs.9.79 Lakh
Icml,Rhino Rx,Rs.8.79 Lakh
Isuzu,D-Max,Rs.10.55 - 11.40 Lakh
Isuzu,Mu-X,Rs.37 - 40.40 Lakh
Isuzu,V-Cross,Rs.25.52 - 30.96 Lakh
Isuzu,S-Cab,Rs.12.55 - 13 Lakh
Isuzu,S-Cab Z,Rs.15 Lakh
Isuzu,Hi-Lander,Rs.21.20 Lakh
Jaguar,F-Pace,Rs.72.90 Lakh
Jaguar,F-Type,Rs.1 - 1.56 Cr
Jaguar,I-Pace,Rs.1.26 Cr
Jeep,Compass,Rs.20.69 - 32.41 Lakh
Jeep,Wrangler,Rs.67.65 - 71.65 Lakh
Jeep,Meridian,Rs.33.77 - 39.83 Lakh
Jeep,Grand Cherokee,Rs.80.50 Lakh
Kia,Seltos,Rs.10.90 - 20.35 Lakh
Kia,Sonet,Rs.7.99 - 15.75 Lakh
Kia,Ev6,Rs.60.97 - 65.97 Lakh
Kia,Carens,Rs.10.52 - 19.67 Lakh
Lamborghini,Urus,Rs.4.18 - 4.22 Cr
Lamborghini,Revuelto,Rs.8.89 Cr
Lamborghini,Huracan Evo,Rs.4 - 4.99 Cr
Land Rover,Range Rover,Rs.2.39 - 4.47 Cr
Land Rover,Defender,Rs.97 Lakh - 2.35 Cr
Land Rover,Range Rover Velar,Rs.87.90 Lakh
Land Rover,Range Rover Evoque,Rs.67.90 Lakh
Land Rover,Range Rover Sport,Rs.1.69 - 2.80 Cr
Land Rover,Discovery,Rs.97 Lakh - 1.43 Cr
Land Rover,Discovery Sport,Rs.67.90 Lakh
Lexus,Es,Rs.63.10 - 69.70 Lakh
Lexus,Lc 500H,Rs.2.39 - 2.50 Cr
Lexus,Lm,Rs.2 - 2.50 Cr
Lexus,Ls,Rs.1.96 - 2.27 Cr
Lexus,Nx,Rs.67.35 - 74.24 Lakh
